Uniform Calendar k,coef(a),std err(a),z(a),P>|z|(a),95% CI Lower(a),95% CI Upper(a),coef(b),std err(b),z(b),P>|z|(b),95% CI Lower(b),95% CI Upper(b),Wald Test Result,T-Test coef,T-Test std err,T-Test t,T-Test P>|t|,T-Test 95% CI Lower,T-Test 95% CI Upper
11,-0.0034470324677369356,0.004734769475774201,-0.7280254055395796,0.46659803451965154,-0.012727010115353961,0.005832945179880091,-0.2779790047599863,1.03945731224437,-0.26742705206410167,0.7891403731312263,-2.315277900225757,1.7593198907057843,0.42331342730781074,-0.0034470324677369356,0.004734769475774201,-0.7280254055395796,0.46659803451965154,-0.012727010115353961,0.005832945179880091
12,-0.0050009839136477465,0.004726278825507978,-1.0581229119740398,0.28999941000487417,-0.014264320192537651,0.004262352365242158,1.5341733549040426,0.45492014545290205,3.3724014428437217,0.0007451575019687494,0.6425462539746317,2.4258004558334534,0.42246608435361777,-0.0050009839136477465,0.004726278825507978,-1.0581229119740398,0.28999941000487417,-0.014264320192537651,0.004262352365242158
13,-0.003995586056122786,0.005462915463276367,-0.7314017730976281,0.46453378257019284,-0.01470270361473141,0.006711531502485839,2.6256148532624994,1.290479505278233,2.034604069668201,0.04189072755818882,0.0963215001300961,5.154908206394903,0.3573221091593436,-0.003995586056122786,0.005462915463276367,-0.7314017730976282,0.46453378257019284,-0.01470270361473141,0.006711531502485839
14,-0.005761640062725241,0.005566705734667652,-1.0350178970020996,0.30066055318930685,-0.01667218281520642,0.005148902689755939,1.1662470917019945,0.3033844941802094,3.844122274124028,0.00012098467529679203,0.5716244096408825,1.7608697737631065,0.5724448246528033,-0.005761640062725241,0.005566705734667652,-1.0350178970020996,0.30066055318930685,-0.01667218281520642,0.005148902689755939
15,-0.013750266930054345,0.008459978421604251,-1.6253312059213154,0.10409200560914043,-0.030331519946384694,0.0028309860862760026,3.37893826433986,0.816492737839854,4.138356788425718,3.498021087737539e-05,1.778641904535242,4.979234624144478,0.012052740606742171,-0.013750266930054345,0.008459978421604251,-1.6253312059213154,0.10409200560914043,-0.030331519946384694,0.0028309860862760026
16,-0.023356197223169662,0.010836632182357704,-2.155300358094105,0.03113833780204599,-0.04459560601429845,-0.0021167884320408732,3.493881781575149,0.5647125413182444,6.187009364833935,6.131632380231328e-10,2.387065538973303,4.600698024176995,3.4590384792159336e-09,-0.023356197223169662,0.010836632182357704,-2.155300358094105,0.03113833780204599,-0.04459560601429845,-0.0021167884320408732
17,-0.010902200779417425,0.006460058473787687,-1.687631903589443,0.091481911030165,-0.02356368272606408,0.0017592811672292302,1.4370228941444168,0.3046615056872172,4.716785243028852,2.396003653861259e-06,0.8398973155217261,2.0341484727671073,0.172694622708274,-0.010902200779417425,0.006460058473787687,-1.6876319035894427,0.09148191103016505,-0.02356368272606408,0.0017592811672292302
18,-0.033207648392632336,0.015318353574103613,-2.1678340450876785,0.03017131549921449,-0.06323106970032583,-0.0031842270849388385,3.188752275476374,1.4585288857930296,2.186279823825765,0.02879513932727243,0.3300881889107026,6.047416362042046,0.05671312009249969,-0.033207648392632336,0.015318353574103613,-2.167834045087679,0.030171315499214445,-0.06323106970032583,-0.0031842270849388385
19,0.0024654386475955734,0.006441056842851475,0.38276927338901057,0.7018908458814894,-0.010158800786768585,0.015089678081959731,-1.1471708880690747,1.1621391150235267,-0.9871201074286627,0.32358376154320745,-3.4249216985404383,1.1305799224022888,0.0650268406572274,0.0024654386475955734,0.006441056842851475,0.38276927338901057,0.7018908458814894,-0.010158800786768585,0.015089678081959731
20,-9.40426868093298e-05,0.00825455803403005,-0.011392819145692791,0.9909100421405832,-0.016272679141803983,0.016084593768185322,0.3405376398253931,0.36701565701670014,0.9278558920168841,0.353482326885159,-0.3787998296896443,1.0598751093404304,0.0813829575388516,-9.40426868093298e-05,0.00825455803403005,-0.011392819145692791,0.9909100421405832,-0.016272679141803983,0.016084593768185322
21,-0.008509578577308302,0.007881533821909328,-1.079685600492269,0.28028220824805883,-0.02395710101118491,0.006937943856568306,2.0360476305879023,0.6016884717601599,3.383890046341946,0.0007146661715891942,0.8567598960250433,3.2153353651507612,0.12011997194192377,-0.008509578577308302,0.007881533821909328,-1.079685600492269,0.28028220824805883,-0.02395710101118491,0.006937943856568306
