Uniform Calendar k,coef(a),std err(a),z(a),P>|z|(a),95% CI Lower(a),95% CI Upper(a),coef(b),std err(b),z(b),P>|z|(b),95% CI Lower(b),95% CI Upper(b),Wald Test Result,T-Test coef,T-Test std err,T-Test t,T-Test P>|t|,T-Test 95% CI Lower,T-Test 95% CI Upper,significance(a),significance(b),significance(wald),significance(t)
24,-0.0075615855887342,0.0063880806300494,-1.1837022772011698,0.2365309372285143,-0.0200819935539691,0.0049588223765006,1.1143115071422498,0.3856143505081738,2.889704456469988,0.0038560416246914,0.3585212682244244,1.870101746060075,0.4866277282489957,-0.0075615855887342,0.0063880806300494,-1.1837022772011698,0.2365309372285143,-0.0200819935539691,0.0049588223765006,,***,,
25,-0.0059775059764067,0.0067061659233601,-0.8913447780325258,0.3727442332097312,-0.0191213496605424,0.0071663377077289,-1.1939042397082846,0.5714781429172623,-2.0891511854043667,0.0366941159961811,-2.3139808177779524,-0.0738276616386168,8.364025746586315e-06,-0.0059775059764067,0.0067061659233601,-0.8913447780325258,0.3727442332097312,-0.0191213496605424,0.0071663377077289,,**,***,
26,0.0012188796959472,0.0083277314580335,0.146363953027261,0.8836340821340889,-0.0151031740347196,0.0175409334266141,-0.2082426267090947,0.3665882457021613,-0.5680559296445195,0.5699969911426747,-0.9267423854410513,0.5102571320228617,0.0002198767315138,0.0012188796959472,0.0083277314580335,0.146363953027261,0.8836340821340889,-0.0151031740347196,0.0175409334266141,,,***,
27,-0.0076313492152929,0.009398664305396,-0.8119610369434664,0.4168139890952066,-0.0260523927566513,0.0107896943260654,1.594054016757496,0.1974580328664013,8.072874998385206,6.866189296548064e-16,1.207043383881223,1.981064649633769,0.0105295207468534,-0.0076313492152929,0.009398664305396,-0.8119610369434664,0.4168139890952066,-0.0260523927566513,0.0107896943260654,,***,**,
28,-0.020434111192944,0.0066960884330247,-3.051648943607733,0.002275881043442,-0.0335582033589678,-0.0073100190269202,1.327491289470317,0.053482574793394,24.82100561909154,5.319154714030513e-136,1.222667369074795,1.4323152098658392,3.929120701429697e-09,-0.020434111192944,0.0066960884330247,-3.051648943607733,0.002275881043442,-0.0335582033589678,-0.0073100190269202,***,***,***,***
29,-0.021789833002463,0.0083531181469427,-2.6085867120696955,0.0090916973900558,-0.0381616437290787,-0.0054180222758473,0.2259439106213646,0.3040836933414355,0.7430319861567425,0.457462315273241,-0.3700491766137712,0.8219369978565005,0.0099652923449865,-0.021789833002463,0.0083531181469427,-2.608586712069695,0.0090916973900558,-0.0381616437290787,-0.0054180222758473,***,,***,***
30,-0.0207838241788166,0.0102356068497317,-2.0305414699824498,0.0423015302919765,-0.0408452449642023,-0.000722403393431,0.5769799812185625,0.2984506295576884,1.933251010640057,0.0532052835626193,-0.0079725038778121,1.161932466314937,0.1261805099359675,-0.0207838241788166,0.0102356068497317,-2.0305414699824498,0.0423015302919765,-0.0408452449642023,-0.000722403393431,**,*,,**
31,-0.0126658558592215,0.0052303733051056,-2.4215969148622163,0.0154524800515452,-0.0229171991629284,-0.0024145125555147,0.9713034001545228,0.2324143727270325,4.17918818340596,2.9255153699848368e-05,0.5157796001200707,1.4268272001889748,0.0479614877780831,-0.0126658558592215,0.0052303733051056,-2.4215969148622163,0.0154524800515452,-0.0229171991629284,-0.0024145125555147,**,***,**,**
32,0.0050605264117713,0.0078646683750226,0.6434507051617194,0.5199316911494357,-0.010353940353624,0.0204749931771668,-0.6562878964494534,0.4866059942625819,-1.3487049156556583,0.1774317659954734,-1.6100181198654182,0.2974423269665114,0.0013693778701105,0.0050605264117713,0.0078646683750226,0.6434507051617194,0.5199316911494357,-0.010353940353624,0.0204749931771668,,,***,
33,-0.016908664965439,0.0088828927447531,-1.9035088513735097,0.0569741798255716,-0.0343188148236873,0.0005014848928091,2.01482704992147,0.4061017139433534,4.9613852410446,6.999221785808407e-07,1.2188823165325098,2.81077178331043,0.0063069738115895,-0.016908664965439,0.0088828927447531,-1.9035088513735097,0.0569741798255716,-0.0343188148236873,0.0005014848928091,*,***,***,*
34,-0.0017217575088467,0.0089155084874452,-0.1931193841911867,0.8468654720179447,-0.0191958330481005,0.0157523180304071,0.1905318432504318,0.3997573773041642,0.476618704413456,0.6336336617733098,-0.5929782188199195,0.9740419053207834,0.0024895893952195,-0.0017217575088467,0.0089155084874452,-0.1931193841911867,0.8468654720179447,-0.0191958330481005,0.0157523180304071,,,***,
35,-0.0122463202620833,0.0098743121305117,-1.240220088267414,0.2148940002054296,-0.0315996164099933,0.0071069758858267,2.5004178191606563,0.3035872013506839,8.236242529448198,1.77703517436418e-16,1.9053978383460064,3.0954377999753064,8.934578609139e-09,-0.0122463202620833,0.0098743121305117,-1.2402200882674137,0.2148940002054296,-0.0315996164099933,0.0071069758858267,,***,***,
36,-0.0239348862495412,0.0127572164057153,-1.876184074044417,0.0606300081731062,-0.0489385709477267,0.0010687984486442,1.898772627350988,0.2527089709503777,7.513673219475195,5.749098583718387e-14,1.403472145718069,2.394073108983907,0.00056683292811,-0.0239348862495412,0.0127572164057153,-1.876184074044417,0.0606300081731062,-0.0489385709477267,0.0010687984486442,*,***,***,*
37,-0.0139907108037993,0.0089657556867106,-1.5604608571407743,0.1186510130664726,-0.0315632690439374,0.0035818474363387,0.6327706772584165,0.2216934796346185,2.8542593056923,0.0043137305713324,0.1982594415672001,1.067281912949633,0.0129978787675468,-0.0139907108037993,0.0089657556867106,-1.560460857140774,0.1186510130664727,-0.0315632690439374,0.0035818474363387,,***,**,
38,-0.0160603713136605,0.0051561434248464,-3.114803059253309,0.0018406776132659,-0.0261662267254825,-0.0059545159018384,1.6079002845609074,0.2030893259005378,7.917207255630805,2.4290466610852408e-15,1.2098525201513357,2.0059480489704797,1.6155250994885565e-06,-0.0160603713136605,0.0051561434248464,-3.114803059253309,0.0018406776132659,-0.0261662267254825,-0.0059545159018384,***,***,***,***
39,-0.0337139007809824,0.00994097585094,-3.391407572707711,0.0006953461198009,-0.0531978554200072,-0.0142299461419575,2.6136750369281554,0.3101048258644625,8.428359763967407,3.505439316013896e-17,2.005880746801744,3.221469327054567,3.418415785935058e-07,-0.0337139007809824,0.00994097585094,-3.391407572707711,0.0006953461198009,-0.0531978554200072,-0.0142299461419575,***,***,***,***
40,-0.0144821027571457,0.0047513679814689,-3.047985930289569,0.0023038071365239,-0.0237946128781216,-0.0051695926361698,1.585965109543611,0.0889311644040387,17.833625818033102,3.874589183045154e-71,1.4116632302084846,1.7602669888787372,1.865614362913607e-13,-0.0144821027571457,0.0047513679814689,-3.047985930289569,0.0023038071365239,-0.0237946128781216,-0.0051695926361698,***,***,***,***
41,-0.0076553691123992,0.0099212715194621,-0.7716116928542875,0.4403444467830552,-0.027100703971388,0.0117899657465895,2.2545669043180787,0.2606431377119134,8.650014437786703,5.149291576461434e-18,1.743715741585215,2.7654180670509425,1.044971078835658e-11,-0.0076553691123992,0.0099212715194621,-0.7716116928542875,0.4403444467830552,-0.027100703971388,0.0117899657465895,,***,***,
